fecha,cod_ine,CCAA,total,tipo
2020-02-27,01,Andalucía,1,casos
2020-02-28,01,Andalucía,6,casos
2020-02-29,01,Andalucía,8,casos
2020-03-01,01,Andalucía,12,casos
2020-03-02,01,Andalucía,12,casos
2020-03-03,01,Andalucía,13,casos
2020-03-04,01,Andalucía,13,casos
2020-03-05,01,Andalucía,12,casos
2020-03-06,01,Andalucía,21,casos
2020-03-07,01,Andalucía,27,casos
2020-03-08,01,Andalucía,35,casos
2020-03-09,01,Andalucía,54,casos
2020-03-10,01,Andalucía,71,casos
2020-03-11,01,Andalucía,90,casos
2020-03-12,01,Andalucía,115,casos
2020-03-13,01,Andalucía,219,casos
2020-03-14,01,Andalucía,269,casos
2020-03-15,01,Andalucía,437,casos
2020-03-16,01,Andalucía,554,casos
2020-03-17,01,Andalucía,683,casos
2020-03-18,01,Andalucía,859,casos
2020-03-19,01,Andalucía,1008,casos
2020-03-20,01,Andalucía,1287,casos
2020-03-21,01,Andalucía,1515,casos
2020-03-22,01,Andalucía,1725,casos
2020-03-23,01,Andalucía,1961,casos
2020-03-24,01,Andalucía,2471,casos
2020-03-25,01,Andalucía,3010,casos
2020-03-26,01,Andalucía,3406,casos
2020-03-27,01,Andalucía,3793,casos
2020-03-28,01,Andalucía,4277,casos
2020-03-29,01,Andalucía,4682,casos
2020-03-30,01,Andalucía,5405,casos
2020-03-31,01,Andalucía,5818,casos
2020-04-01,01,Andalucía,6392,casos
2020-04-02,01,Andalucía,6972,casos
2020-04-03,01,Andalucía,7374,casos
2020-04-04,01,Andalucía,7869,casos
2020-04-05,01,Andalucía,8301,casos
2020-04-06,01,Andalucía,8581,casos
2020-04-07,01,Andalucía,8767,casos
2020-04-08,01,Andalucía,8997,casos
2020-04-09,01,Andalucía,9261,casos
2020-04-10,01,Andalucía,9510,casos
2020-04-11,01,Andalucía,9712,casos
2020-04-12,01,Andalucía,10006,casos
2020-04-13,01,Andalucía,10187,casos
2020-04-14,01,Andalucía,10192,casos
2020-04-15,01,Andalucía,10595,casos
2020-02-27,02,Aragón,0,casos
2020-02-28,02,Aragón,1,casos
2020-02-29,02,Aragón,1,casos
2020-03-01,02,Aragón,0,casos
2020-03-02,02,Aragón,0,casos
2020-03-03,02,Aragón,0,casos
2020-03-04,02,Aragón,0,casos
2020-03-05,02,Aragón,1,casos
2020-03-06,02,Aragón,6,casos
2020-03-07,02,Aragón,11,casos
2020-03-08,02,Aragón,13,casos
2020-03-09,02,Aragón,13,casos
2020-03-10,02,Aragón,38,casos
2020-03-11,02,Aragón,45,casos
2020-03-12,02,Aragón,64,casos
2020-03-13,02,Aragón,80,casos
2020-03-14,02,Aragón,80,casos
2020-03-15,02,Aragón,147,casos
2020-03-16,02,Aragón,174,casos
2020-03-17,02,Aragón,207,casos
2020-03-18,02,Aragón,226,casos
2020-03-19,02,Aragón,281,casos
2020-03-20,02,Aragón,360,casos
2020-03-21,02,Aragón,424,casos
2020-03-22,02,Aragón,532,casos
2020-03-23,02,Aragón,638,casos
2020-03-24,02,Aragón,758,casos
2020-03-25,02,Aragón,907,casos
2020-03-26,02,Aragón,1116,casos
2020-03-27,02,Aragón,1338,casos
2020-03-28,02,Aragón,1592,casos
2020-03-29,02,Aragón,1858,casos
2020-03-30,02,Aragón,2078,casos
2020-03-31,02,Aragón,2272,casos
2020-04-01,02,Aragón,2491,casos
2020-04-02,02,Aragón,2700,casos
2020-04-03,02,Aragón,2889,casos
2020-04-04,02,Aragón,3078,casos
2020-04-05,02,Aragón,3232,casos
2020-04-06,02,Aragón,3347,casos
2020-04-07,02,Aragón,3449,casos
2020-04-08,02,Aragón,3549,casos
2020-04-09,02,Aragón,3685,casos
2020-04-10,02,Aragón,3831,casos
2020-04-11,02,Aragón,3969,casos
2020-04-12,02,Aragón,4070,casos
2020-04-13,02,Aragón,4187,casos
2020-04-14,02,Aragón,4245,casos
2020-04-15,02,Aragón,4338,casos
2020-02-27,03,Asturias,0,casos
2020-02-28,03,Asturias,0,casos
2020-02-29,03,Asturias,0,casos
2020-03-01,03,Asturias,1,casos
2020-03-02,03,Asturias,1,casos
2020-03-03,03,Asturias,1,casos
2020-03-04,03,Asturias,2,casos
2020-03-05,03,Asturias,5,casos
2020-03-06,03,Asturias,5,casos
2020-03-07,03,Asturias,5,casos
2020-03-08,03,Asturias,7,casos
2020-03-09,03,Asturias,7,casos
2020-03-10,03,Asturias,22,casos
2020-03-11,03,Asturias,32,casos
2020-03-12,03,Asturias,47,casos
2020-03-13,03,Asturias,67,casos
2020-03-14,03,Asturias,92,casos
2020-03-15,03,Asturias,137,casos
2020-03-16,03,Asturias,177,casos
2020-03-17,03,Asturias,193,casos
2020-03-18,03,Asturias,242,casos
