fecha,cod_ine,CCAA,total,tipo
2020-03-26,14,Murcia,8,fallecidos
2020-03-27,14,Murcia,15,fallecidos
2020-03-28,14,Murcia,17,fallecidos
2020-03-29,14,Murcia,20,fallecidos
2020-03-30,14,Murcia,25,fallecidos
2020-03-31,14,Murcia,34,fallecidos
2020-04-01,14,Murcia,37,fallecidos
2020-04-02,14,Murcia,42,fallecidos
2020-04-03,14,Murcia,46,fallecidos
2020-04-04,14,Murcia,51,fallecidos
2020-04-05,14,Murcia,59,fallecidos
2020-04-06,14,Murcia,68,fallecidos
2020-04-07,14,Murcia,78,fallecidos
2020-04-08,14,Murcia,85,fallecidos
2020-04-09,14,Murcia,88,fallecidos
2020-04-10,14,Murcia,90,fallecidos
2020-04-11,14,Murcia,94,fallecidos
2020-04-12,14,Murcia,97,fallecidos
2020-04-13,14,Murcia,101,fallecidos
2020-04-14,14,Murcia,106,fallecidos
2020-04-15,14,Murcia,109,fallecidos
2020-03-03,15,Navarra,0,fallecidos
2020-03-04,15,Navarra,0,fallecidos
2020-03-05,15,Navarra,0,fallecidos
2020-03-06,15,Navarra,0,fallecidos
2020-03-07,15,Navarra,0,fallecidos
2020-03-08,15,Navarra,0,fallecidos
2020-03-09,15,Navarra,0,fallecidos
2020-03-10,15,Navarra,0,fallecidos
2020-03-11,15,Navarra,0,fallecidos
2020-03-12,15,Navarra,0,fallecidos
2020-03-13,15,Navarra,0,fallecidos
2020-03-14,15,Navarra,0,fallecidos
2020-03-15,15,Navarra,0,fallecidos
2020-03-16,15,Navarra,1,fallecidos
2020-03-17,15,Navarra,2,fallecidos
2020-03-18,15,Navarra,3,fallecidos
2020-03-19,15,Navarra,4,fallecidos
2020-03-20,15,Navarra,5,fallecidos
2020-03-21,15,Navarra,9,fallecidos
2020-03-22,15,Navarra,14,fallecidos
2020-03-23,15,Navarra,24,fallecidos
2020-03-24,15,Navarra,31,fallecidos
2020-03-25,15,Navarra,33,fallecidos
2020-03-26,15,Navarra,49,fallecidos
2020-03-27,15,Navarra,58,fallecidos
2020-03-28,15,Navarra,70,fallecidos
2020-03-29,15,Navarra,84,fallecidos
2020-03-30,15,Navarra,102,fallecidos
2020-03-31,15,Navarra,113,fallecidos
2020-04-01,15,Navarra,130,fallecidos
2020-04-02,15,Navarra,141,fallecidos
2020-04-03,15,Navarra,151,fallecidos
2020-04-04,15,Navarra,171,fallecidos
2020-04-05,15,Navarra,178,fallecidos
2020-04-06,15,Navarra,187,fallecidos
